County,State,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Lucas County,Ohio,"431,279","32,167","399,112","378,008","284,663","83,398",817,"7,089",115,"1,926","21,104"
Madison County,Ohio,"43,824","1,263","42,561","40,917","37,761","2,664",59,253,4,176,"1,644"
Mahoning County,Ohio,"228,614","14,093","214,521","205,911","169,090","33,770",332,"1,952",59,708,"8,610"
Marion County,Ohio,"65,359","1,956","63,403","60,845","56,114","4,051",140,358,15,167,"2,558"
Medina County,Ohio,"182,470","4,592","177,878","170,928","165,643","2,292",192,"2,184",28,589,"6,950"
Meigs County,Ohio,"22,210",172,"22,038","21,442","21,180",148,49,22,0,43,596
Mercer County,Ohio,"42,528",928,"41,600","40,837","39,752",191,63,189,564,78,763
Miami County,Ohio,"108,774","2,199","106,575","101,823","96,964","2,559",152,"1,644",21,483,"4,752"
Monroe County,Ohio,"13,385",67,"13,318","12,983","12,909",19,12,21,3,19,335
Montgomery County,Ohio,"537,309","21,179","516,130","489,697","360,396","112,818",937,"12,714",244,"2,588","26,433"
Morgan County,Ohio,"13,802",127,"13,675","13,016","12,525",396,20,24,2,49,659
Morrow County,Ohio,"34,950",580,"34,370","33,173","32,773",153,56,90,8,93,"1,197"
Muskingum County,Ohio,"86,410","1,055","85,355","80,840","76,947","2,985",138,384,8,378,"4,515"
Noble County,Ohio,"14,115",173,"13,942","13,656","12,840",752,31,22,0,11,286
Ottawa County,Ohio,"40,364","2,059","38,305","37,073","36,436",335,47,157,6,92,"1,232"
Paulding County,Ohio,"18,806","1,010","17,796","17,248","16,972",139,41,30,5,61,548
Perry County,Ohio,"35,408",252,"35,156","33,931","33,595",90,94,67,0,85,"1,225"
Pickaway County,Ohio,"58,539",903,"57,636","55,150","52,416","2,143",131,296,11,153,"2,486"
Pike County,Ohio,"27,088",219,"26,869","25,890","25,470",190,110,70,6,44,979
Portage County,Ohio,"161,791","3,505","158,286","150,937","138,774","7,934",233,"3,400",38,558,"7,349"
Preble County,Ohio,"40,999",386,"40,613","39,230","38,700",182,84,162,4,98,"1,383"
Putnam County,Ohio,"34,451","2,229","32,222","31,677","31,427",100,25,61,3,61,545
Richland County,Ohio,"124,936","2,615","122,321","116,961","104,231","11,216",192,791,58,473,"5,360"
Ross County,Ohio,"77,093","1,031","76,062","72,484","67,705","4,005",189,369,20,196,"3,578"
Sandusky County,Ohio,"58,896","6,055","52,841","50,424","48,219","1,762",75,202,7,159,"2,417"
Scioto County,Ohio,"74,008","1,052","72,956","70,316","67,531","2,038",254,274,9,210,"2,640"
Seneca County,Ohio,"55,069","2,899","52,170","50,146","48,213","1,314",66,359,36,158,"2,024"
Shelby County,Ohio,"48,230",787,"47,443","45,654","44,067",839,81,450,29,188,"1,789"
Stark County,Ohio,"374,853","10,516","364,337","344,902","310,535","28,723",721,"3,175",97,"1,651","19,435"
Summit County,Ohio,"540,428","13,206","527,222","501,986","397,536","78,922",777,"22,506",149,"2,096","25,236"
Trumbull County,Ohio,"201,977","4,179","197,798","188,550","169,627","16,940",249,"1,099",26,609,"9,248"
Tuscarawas County,Ohio,"93,263","3,962","89,301","86,297","84,979",697,117,306,29,169,"3,004"
Union County,Ohio,"62,784","1,534","61,250","58,899","53,287","1,275",93,"4,043",0,201,"2,351"
Van Wert County,Ohio,"28,931","1,097","27,834","26,941","26,467",257,37,88,13,79,893
Vinton County,Ohio,"12,800",84,"12,716","12,311","12,213",43,19,22,0,14,405
Warren County,Ohio,"242,337","7,738","234,599","224,830","198,227","8,175",288,"17,278",158,704,"9,769"
Washington County,Ohio,"59,771",717,"59,054","56,852","55,663",600,114,309,8,158,"2,202"
Wayne County,Ohio,"116,894","2,755","114,139","110,092","106,930","1,755",142,950,32,283,"4,047"
Williams County,Ohio,"37,102","1,862","35,240","34,151","33,483",323,55,198,0,92,"1,089"
Wood County,Ohio,"132,248","8,280","123,968","118,835","112,493","3,089",164,"2,750",9,330,"5,133"
Wyandot County,Ohio,"21,900",641,"21,259","20,751","20,520",77,21,85,3,45,508
Tennessee,Tennessee,"6,910,840","479,187","6,431,653","6,161,430","4,900,246","1,083,772","15,539","134,302","3,594","23,977","270,223"
Anderson County,Tennessee,"77,123","2,820","74,303","70,402","66,044","2,841",217,975,53,272,"3,901"
Bedford County,Tennessee,"50,237","7,665","42,572","40,679","36,499","3,563",127,337,13,140,"1,893"
Benton County,Tennessee,"15,864",375,"15,489","14,885","14,378",316,50,107,4,30,604
Bledsoe County,Tennessee,"14,913",459,"14,454","13,997","13,129",781,48,37,0,2,457
Blount County,Tennessee,"135,280","5,709","129,571","123,585","117,952","3,552",339,"1,280",23,439,"5,986"
Bradley County,Tennessee,"108,620","8,461","100,159","94,859","87,830","5,105",271,"1,188",117,348,"5,300"
Campbell County,Tennessee,"39,272",500,"38,772","37,489","37,101",130,77,94,0,87,"1,283"
Cannon County,Tennessee,"14,506",395,"14,111","13,364","13,064",192,25,38,4,41,747
Carroll County,Tennessee,"28,440",769,"27,671","26,497","23,744","2,445",75,124,5,104,"1,174"
Carter County,Tennessee,"56,356","1,181","55,175","52,991","51,790",702,153,231,7,108,"2,184"
Cheatham County,Tennessee,"41,072","1,839","39,233","37,542","36,299",815,92,184,25,127,"1,691"
Chester County,Tennessee,"17,341",528,"16,813","16,149","14,471","1,494",52,70,0,62,664
Claiborne County,Tennessee,"32,043",490,"31,553","30,584","29,966",314,58,148,11,87,969
Clay County,Tennessee,"7,581",130,"7,451","7,305","7,202",76,17,5,1,4,146
Cocke County,Tennessee,"35,999",954,"35,045","33,646","32,733",582,126,150,9,46,"1,399"
Coffee County,Tennessee,"57,889","3,259","54,630","52,044","48,983","2,097",145,611,37,171,"2,586"
Crockett County,Tennessee,"13,911","1,498","12,413","12,030","10,056","1,879",19,25,1,50,383
Cumberland County,Tennessee,"61,145","1,936","59,209","57,222","56,313",299,130,366,12,102,"1,987"
Davidson County,Tennessee,"715,884","98,119","617,765","590,806","386,835","171,489","1,309","27,660",303,"3,210","26,959"
Decatur County,Tennessee,"11,435",358,"11,077","10,803","10,462",270,9,42,5,15,274
DeKalb County,Tennessee,"20,080","1,449","18,631","17,938","17,526",234,44,76,5,53,693
Dickson County,Tennessee,"54,315","2,582","51,733","49,580","46,994","1,931",181,310,4,160,"2,153"
Dyer County,Tennessee,"36,801","1,303","35,498","34,012","28,272","5,335",81,213,11,100,"1,486"
Fayette County,Tennessee,"41,990","1,430","40,560","39,100","27,558","11,038",59,269,18,158,"1,460"
Fentress County,Tennessee,"18,489",316,"18,173","17,643","17,541",25,26,33,0,18,530
Franklin County,Tennessee,"42,774","1,502","41,272","39,545","36,864","1,962",117,348,17,237,"1,727"
Gibson County,Tennessee,"50,429","1,439","48,990","47,283","37,930","8,929",97,200,15,112,"1,707"
Giles County,Tennessee,"30,346",728,"29,618","28,220","24,920","2,927",113,176,9,75,"1,398"
Grainger County,Tennessee,"23,527",773,"22,754","21,996","21,748",118,42,53,2,33,758
Greene County,Tennessee,"70,152","2,535","67,617","65,100","63,143","1,308",142,299,14,194,"2,517"
Grundy County,Tennessee,"13,529",175,"13,354","12,757","12,620",38,33,44,0,22,597
Hamblen County,Tennessee,"64,499","9,483","55,016","52,565","49,197","2,106",130,712,268,152,"2,451"
Hamilton County,Tennessee,"366,207","27,075","339,132","324,227","249,939","63,979",770,"8,139",131,"1,269","14,905"
Hancock County,Tennessee,"6,662",40,"6,622","6,461","6,391",33,25,1,0,11,161
Hardeman County,Tennessee,"25,462",494,"24,968","24,402","13,970","10,150",46,162,6,68,566
Hardin County,Tennessee,"26,831",565,"26,266","25,359","24,272",805,81,148,0,53,907
Hawkins County,Tennessee,"56,721",889,"55,832","53,978","52,824",671,104,256,13,110,"1,854"
Haywood County,Tennessee,"17,864",838,"17,026","16,668","7,554","8,993",33,26,6,56,358
Henderson County,Tennessee,"27,842",719,"27,123","26,047","23,890","1,931",53,90,2,81,"1,076"
Henry County,Tennessee,"32,199",877,"31,322","29,967","27,250","2,307",76,202,7,125,"1,355"
Hickman County,Tennessee,"24,925",681,"24,244","23,244","22,086",931,101,72,1,53,"1,000"
Houston County,Tennessee,"8,283",202,"8,081","7,787","7,491",200,32,16,8,40,294
Humphreys County,Tennessee,"18,990",449,"18,541","17,770","17,102",494,43,57,0,74,771
Jackson County,Tennessee,"11,617",245,"11,372","10,889","10,778",31,35,17,0,28,483
Jefferson County,Tennessee,"54,683","2,392","52,291","50,355","48,975",787,159,257,20,157,"1,936"
Johnson County,Tennessee,"17,948",516,"17,432","16,922","16,126",724,28,27,9,8,510
Knox County,Tennessee,"478,971","28,568","450,403","428,679","373,790","39,853","1,079","11,881",300,"1,776","21,724"
Lake County,Tennessee,"7,005",175,"6,830","6,624","4,755","1,832",15,12,5,5,206
Lauderdale County,Tennessee,"25,143",587,"24,556","23,649","15,016","8,385",133,53,0,62,907
Lawrence County,Tennessee,"44,159","1,117","43,042","41,442","40,368",694,92,167,1,120,"1,600"
Lewis County,Tennessee,"12,582",326,"12,256","11,821","11,510",184,31,55,5,36,435
Lincoln County,Tennessee,"35,319","1,268","34,051","32,392","29,803","2,198",116,178,16,81,"1,659"
Loudon County,Tennessee,"54,886","5,356","49,530","47,705","46,419",578,95,450,2,161,"1,825"
McMinn County,Tennessee,"53,276","2,161","51,115","48,529","45,993","1,842",140,430,17,107,"2,586"
McNairy County,Tennessee,"25,866",438,"25,428","24,576","22,847","1,545",55,78,0,51,852
Macon County,Tennessee,"25,216","1,684","23,532","22,705","22,439",120,60,44,8,34,827
Madison County,Tennessee,"98,823","4,722","94,101","90,875","53,264","35,837",175,"1,227",13,359,"3,226"
Marion County,Tennessee,"28,837",601,"28,236","27,018","25,689","1,033",93,148,2,53,"1,218"
Marshall County,Tennessee,"34,318","2,235","32,083","30,618","28,255","2,018",103,142,7,93,"1,465"
